,Price,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Sku_id,Update_time,rate,Munit,min_order,Forecast_box,SS,Forecast_box_tomorrow,Stock,Inventory,Suggestion_qty
70,7970,07970,杭州,001,001,杭州,A级-红树莓,2020-06-15,23,07970,2020-06-14,12.0,盒,1.0,4,10.0,1,9,6,8
71,7190,07190,杭州,001,001,杭州,A级-黑了好吃牛油果,2020-06-15,459,07190,2020-06-14,10.0,只,1.0,46,10.0,44,50,18,38
72,13410,13410,杭州,001,001,杭州,A级-羊角蜜,2020-06-15,496,13410,2020-06-14,12.0,斤,1.0,61,15.05161188737483,14,66,32,44
73,13410,13410,杭州,001,001,杭州,A级-羊角蜜,2020-06-15,496,13410,2020-06-14,12.0,斤,1.0,61,15.05161188737483,14,66,32,44
74,13410,13410,杭州,001,001,杭州,A级-羊角蜜,2020-06-15,496,13410,2020-06-14,12.0,斤,1.0,61,15.05161188737483,14,66,32,44
75,13410,13410,杭州,001,001,杭州,A级-羊角蜜,2020-06-15,496,13410,2020-06-14,12.0,斤,1.0,61,15.05161188737483,14,66,32,44
76,65470,65470,杭州,001,001,杭州,A级-进口伽俐果(小),2020-06-15,800,65470,2020-06-14,18.0,斤,1.0,60,10.0,44,60,0,70
77,44203,44203,杭州,001,001,杭州,日式梅饼168g,2020-06-15,14,44203,2020-06-14,12.0,罐,10.0,1,10.0,1,157,157,0
78,40039,40039,杭州,001,001,杭州,黄桃汁,2020-06-15,108,40039,2020-06-14,8.0,瓶,1.0,19,14.0,14,346,327,0
79,6790,06790,杭州,001,001,杭州,A级-网纹瓜,2020-06-15,1946,06790,2020-06-14,13.0,斤,1.0,150,47.561989625570305,183,944,839,0
80,6790,06790,杭州,001,001,杭州,A级-网纹瓜,2020-06-15,1946,06790,2020-06-14,13.0,斤,1.0,150,47.561989625570305,183,944,839,0
81,6790,06790,杭州,001,001,杭州,A级-网纹瓜,2020-06-15,1946,06790,2020-06-14,13.0,斤,1.0,150,47.561989625570305,183,944,839,0
82,6790,06790,杭州,001,001,杭州,A级-网纹瓜,2020-06-15,1946,06790,2020-06-14,13.0,斤,1.0,150,47.561989625570305,183,944,839,0
83,65350,65350,杭州,001,001,杭州,A级-红玉香芒礼盒,2020-06-15,1,65350,2020-06-14,1.0,小箱,1.0,63,10.0,1,204,141,0
84,40137,40137,杭州,001,001,杭州,认养一头牛常温酸奶,2020-06-15,5234,40137,2020-06-14,12.0,包,10.0,436,24.852216260551582,440,153,-62,461
85,43155,43155,杭州,001,001,杭州,那么大杨梅218g,2020-06-15,18,43155,2020-06-14,12.0,罐,10.0,3,10.0,1,189,187,0
86,6630,06630,杭州,001,001,杭州,A级-台湾红心芭乐,2020-06-15,13,06630,2020-06-14,10.0,斤,1.0,1,10.0,1,0,-6,11
87,40147,40147,杭州,001,001,杭州,吐司面包,2020-06-15,509,40147,2020-06-14,1.0,小箱,1.0,509,10.0,509,490,454,65
88,15080,15080,杭州,001,001,杭州,A级-火山口荔枝,2020-06-15,10764,15080,2020-06-14,10.0,斤,1.0,1076,464.97529683486056,1089,1284,1284,257
89,15080,15080,杭州,001,001,杭州,A级-火山口荔枝,2020-06-15,10764,15080,2020-06-14,10.0,斤,1.0,1076,464.97529683486056,1089,1284,1284,257
90,40109,40109,杭州,001,001,杭州,椰子可可夹心雪糕,2020-06-15,-4,40109,2020-06-14,30.0,支,10.0,3,10.0,0,151,148,0
91,12130,12130,杭州,001,001,杭州,A级-原种红玉木瓜,2020-06-15,765,12130,2020-06-14,10.0,斤,1.0,76,10.0,70,114,50,36
92,12130,12130,杭州,001,001,杭州,A级-原种红玉木瓜,2020-06-15,765,12130,2020-06-14,10.0,斤,1.0,76,10.0,70,114,50,36
93,12130,12130,杭州,001,001,杭州,A级-原种红玉木瓜,2020-06-15,765,12130,2020-06-14,10.0,斤,1.0,76,10.0,70,114,50,36
94,12130,12130,杭州,001,001,杭州,A级-原种红玉木瓜,2020-06-15,765,12130,2020-06-14,10.0,斤,1.0,76,10.0,70,114,50,36
95,67207,67207,杭州,001,001,杭州,芒果吃光光,2020-06-15,132,67207,2020-06-14,12.0,盒,10.0,11,10.0,11,353,346,0
96,6300,06300,杭州,001,001,杭州,A级-红玉香芒(中),2020-06-15,1791,06300,2020-06-14,10.0,斤,1.0,179,10.0,179,160,10,179
97,6870,06870,杭州,001,001,杭州,A级-红心李(中),2020-06-15,1061,06870,2020-06-14,10.0,斤,1.0,106,10.0,106,98,10,106
98,4300,04300,杭州,001,001,杭州,A级-国产红蛇果(大),2020-06-15,781,04300,2020-06-14,17.0,斤,1.0,46,10.0,41,50,25,31
99,1190,01190,杭州,001,001,杭州,A级-阳光玫瑰葡萄,2020-06-15,2050,01190,2020-06-14,4.0,斤,1.0,512,60.81755922596764,573,495,286,287
100,40113,40113,杭州,001,001,杭州,橙子芝芝夹心雪糕,2020-06-15,17,40113,2020-06-14,30.0,支,10.0,2,10.0,1,159,157,0
101,7300,07300,杭州,001,001,杭州,A级-蜜宝火龙果(中),2020-06-15,931,07300,2020-06-14,9.0,斤,1.0,103,10.0,99,640,578,0
102,43170,43170,杭州,001,001,杭州,每日坚果,2020-06-15,339,43170,2020-06-14,30.0,包,10.0,11,10.0,15,62,59,0
103,65600,65600,杭州,001,001,杭州,A级-红肉菠萝蜜(大),2020-06-15,2166,65600,2020-06-14,1.0,斤,1.0,2166,1074.5506987023148,2370,20,18,3223
104,65600,65600,杭州,001,001,杭州,A级-红肉菠萝蜜(大),2020-06-15,2166,65600,2020-06-14,1.0,斤,1.0,2166,1074.5506987023148,2370,20,18,3223
105,5170,05170,杭州,001,001,杭州,B级-东方蜜甜瓜,2020-06-15,4114,05170,2020-06-14,10.0,斤,1.0,411,88.68943751389233,428,296,73,427
106,40035,40035,杭州,001,001,杭州,香辣金针菇160g,2020-06-15,87,40035,2020-06-14,12.0,包,10.0,7,10.0,7,523,520,0
107,11050,11050,杭州,001,001,杭州,A级-国产黑布林(中),2020-06-15,1272,11050,2020-06-14,14.0,斤,1.0,136,12.950504065693952,95,150,10,139
108,40470,40470,杭州,001,001,杭州,进口活性原味乳酸菌饮品,2020-06-15,342,40470,2020-06-14,10.0,条,1.0,34,10.0,33,360,349,0
109,40037,40037,杭州,001,001,杭州,香辣海带片218g,2020-06-15,131,40037,2020-06-14,12.0,包,10.0,11,10.0,10,606,600,0
110,8810,08810,杭州,001,001,杭州,B级-埃及橙(中),2020-06-15,3000,08810,2020-06-14,30.0,斤,1.0,125,22.826765528427277,109,198,64,84
111,6320,06320,杭州,001,001,杭州,A级-台湾爱文芒,2020-06-15,126,06320,2020-06-14,10.0,斤,1.0,13,10.0,11,12,1,22
112,11120,11120,杭州,001,001,杭州,A级-冰糖冬枣(大),2020-06-15,1601,11120,2020-06-14,3.8,斤,1.0,421,166.4191904161762,434,335,36,551
113,7350,07350,杭州,001,001,杭州,A级-泰国椰青(大),2020-06-15,2168,07350,2020-06-14,9.0,只,1.0,266,39.08859638496806,179,2016,1812,0
114,12630,12630,杭州,001,001,杭州,A级-人参果,2020-06-15,577,12630,2020-06-14,13.0,斤,1.0,44,10.0,49,37,7,47
115,12630,12630,杭州,001,001,杭州,A级-人参果,2020-06-15,577,12630,2020-06-14,13.0,斤,1.0,44,10.0,49,37,7,47
116,40045,40045,杭州,001,001,杭州,蒜香面包脆,2020-06-15,12,40045,2020-06-14,10.0,包,10.0,1,10.0,1,234,233,0
117,40069,40069,杭州,001,001,杭州,小京生山核桃味花生,2020-06-15,74,40069,2020-06-14,20.0,袋,0.0,4,10.0,7,160,159,0
118,5150,05150,杭州,001,001,杭州,A级-绿宝石香瓜,2020-06-15,364,05150,2020-06-14,4.5,斤,1.0,81,20.286217297586507,67,21,8,93
119,5150,05150,杭州,001,001,杭州,A级-绿宝石香瓜,2020-06-15,364,05150,2020-06-14,4.5,斤,1.0,81,20.286217297586507,67,21,8,93
120,5150,05150,杭州,001,001,杭州,A级-绿宝石香瓜,2020-06-15,364,05150,2020-06-14,4.5,斤,1.0,81,20.286217297586507,67,21,8,93
121,5150,05150,杭州,001,001,杭州,A级-绿宝石香瓜,2020-06-15,364,05150,2020-06-14,4.5,斤,1.0,81,20.286217297586507,67,21,8,93
122,1070,01070,杭州,001,001,杭州,A级-夏黑葡萄,2020-06-15,1616,01070,2020-06-14,7.6,斤,1.0,270,10.0,212,1028,759,0
123,1230,01230,杭州,001,001,杭州,A级-巨峰葡萄,2020-06-15,6110,01230,2020-06-14,25.0,斤,1.0,678,73.95820662056789,166,600,0,752
124,16010,16010,杭州,001,001,杭州,A级-春蕉,2020-06-15,25598,16010,2020-06-14,18.0,斤,10.0,1553,10.0,1478,1609,0,1563
125,7600,07600,杭州,001,001,杭州,A级-菲律宾凤梨(大),2020-06-15,6149,07600,2020-06-14,29.0,斤,1.0,260,59.149930563900796,158,548,342,0
126,40660,40660,杭州,001,001,杭州,进口活性蓝莓味乳酸菌饮品,2020-06-15,235,40660,2020-06-14,10.0,盒,1.0,24,17.173623185959723,26,206,196,0
127,12590,12590,杭州,001,001,杭州,A级-黄金百香果,2020-06-15,31,12590,2020-06-14,6.0,斤,1.0,6,10.0,5,6,0,16
128,2160,02160,杭州,001,001,杭州,经典-阳山水蜜桃(中),2020-06-15,0,02160,2020-06-14,8.0,斤,10.0,250,10.0,0,300,50,210
129,7270,07270,杭州,001,001,杭州,A级-台湾莲雾(中),2020-06-15,229,07270,2020-06-14,6.0,斤,0.0,44,10.0,41,50,3,51
130,65210,65210,杭州,001,001,杭州,A级-先锋樱桃(中),2020-06-17,2655,65210,2020-06-14,9.0,斤,1.0,361,48.54065878781988,250,402,86,324
131,65210,65210,杭州,001,001,杭州,A级-先锋樱桃(中),2020-06-17,2655,65210,2020-06-14,9.0,斤,1.0,361,48.54065878781988,250,402,86,324
132,13050,13050,杭州,001,001,杭州,A级-落地碎香梨,2020-06-15,540,13050,2020-06-14,10.5,斤,10.0,57,10.0,51,155,98,0
133,6860,06860,杭州,001,001,杭州,珍贵-黄金火龙果,2020-06-15,8,06860,2020-06-14,6.0,只,1.0,1,10.0,2,8,8,3
